Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2012,Philosophy of Technology (Paragon Issues in Philosophy),Don Ihde,115,academic,technology,philosophy,,,,
,2012,Technology and the Lifeworld: From Garden to Earth (Indiana Series in the Philosophy of Technology),Don Ihde,116,academic,technology,philosophy,,,,
,2012,Thought and Language/Language and Reading (Harvard Educational Review: Reprint Series),"Maryanne Wolf, et al",117,academic,linguistics,,,,,
,2012,"Writing and Response: Theory, Practice, and Research",Chris M. Anson,118,teaching,,,,,,
,2012,"Yearning: Race, Gender, and Cultural Politics",Bell Hooks,119,essays,,,,,,
,2012,Where I Was From,Joan Didion,120,essays,,,,,,
,2012,Recipes from Home,"David Page, et al",121,cookbook,,,,,,
,2012,Cloned Lives,Pamela Sargent,122,science fiction,,,,,,
,2012,"The Teachings of Don B.: Satires, Parodies, Fables, Illustrated Stories, and Plays","Donald Barthelme, Thomas Pynchon",123,fiction,,,,,,
,2012,Lectura Dantis: Inferno: A Canto-by-Canto Commentary,"Allen Mandelbaum, et al",124,poetry,,,,,,
,2012,"The Divine Comedy, I. Inferno. Part 2","Dante, Charles S. Singleton",125,poetry,,,,,,
,2012,The Life of Monsieur De Moliere,Mikhail Afanasevich Bulgakov,126,poetry,,,,,,
,2012,The Genius of Language: Fifteen Writers Reflect on Their Mother Tongue,Wendy Lesser,127,essays,,,,,,
,2012,A Small Place,Jamaica Kincaid,128,fiction,,,,,,
,2012,Fern Finder: A Guide to Native Ferns of Central and Northeastern United States and Eastern Canada (Nature Study Guides),"Barbara Hallowell, Anne C. Hallowell",129,science,botanical,,,,,
,2012,"Flower Finder: A Guide to the Identification of Spring Wild Flowers and Flower Families East of the Rockies and North of the Smokies, Exclusive of Tre",May Theilgaard Watts,130,science,botanical,,,,,
,2012,Winter Tree Finder: A Manual for Identifying Deciduous Trees in Winter (Eastern US) (Nature Study Guides),"May T. Watts, Tom Watts",131,science,botanical,,,,,
,2012,Winter Weed Finder: A Guide to Dry Plants in Winter (Nature Study Guides),Dorcas S. Miller,132,science,botanical,,,,,
